name,location,edition,restaurant_url,address,lat,lon
Biryaniwalla by Patri,London,hammersmith,https://deliveroo.co.uk/menu/London/hammersmith/biryaniwalla-ealing?day=today&geohash=gcpv4ezcruym&time=ASAP,"103 Hammersmith Grove, London, London, W60NQ",51.4978513,-0.2276068
Bleecker Burger,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/bleecker-editions-mv?day=today&geohash=gcpv4ezcruym&time=1615,"Deliveroo Editions, Unit 8 Mitre Way, Mitre Bridge Industrial Estate, London Borough of Hammersmith and Fulham,, London, W106AU",51.5245604,-0.2304484
Tao Tao Ju,London,brent-cross-editions,https://deliveroo.co.uk/menu/London/brent-cross-editions/tao-tao-ju-editions-brc?day=today&geohash=gcpv4ezcruym&time=1745,"Phoenix Park, Aspley Way, Unit 2, London, NW27LN",51.56704439,-0.239066055
YUN Bento,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/yun-bento-editions-mdv?geohash=gcpv4ezcruym,"Unit 8, Mitre Way, White City, London, W106AU",51.5245604,-0.2304484
Tao Village Dim Sum,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/tao-village-dim-sum-editions-mdv?geohash=gcpv4ezcruym,"8 Mitre Way, London, W106AU",51.5245604,-0.2304484
Dishoom,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/dishoom-editions-isl?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"149 Roman Way, London, N78XH",51.3731458,-0.1069457
Bronson's Burgers,London,kentish-town,https://deliveroo.co.uk/menu/London/kentish-town/bronsons-burgers-kentish-town?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"Regis Rd, London NW5 3EG, United Kingdom, London, NW53EW",51.55010716,-0.143632771
Poke Shack,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/poke-shack-editions-cre?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"Unit 21, Cranford Way, London, N89DG",51.5830431,-0.110714
Tao Tao Ju ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/tao-tao-ju-editions-whi?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"10 Assembly Passage, London, E14UT",51.5205841,-0.0516174
Maroush,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/maroush-editions-cre?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"21 Cranford Way, London, N89DG",51.5830431,-0.110714
Ben & Jerry's Store,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/ben-and-jerrys-store-editions-isl?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"Unit 4, 149 Roman Way, Islington, London, N78XH",51.3731458,-0.1069457
Mindful Chef,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/mindful-chef-editions-cre?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"21 Cranford Way London, London, N89DG",51.5830431,-0.110714
Jude's Ice Cream,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/judes-ice-cream-editions-wme-new?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"10 Assembly Passage, London, E14UT",51.5205841,-0.0516174
Pho,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/pho-editions-cre?day=today&geohash=gcpvjrhmqd3y&time=1645,"Unit 21 Cranford Way, London, N89DG",51.5830431,-0.110714
Motu Indian Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/motu-editions-wme?day=today&geohash=gcpvjrhmqd3y&time=1745,"16 Assembly Passage, London, E14UT",51.5205841,-0.0516174
Dishoom,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/dishoom-shoreditch?day=today&geohash=gcpvnffqn934&time=ASAP,"10 Assembly Passage, Whitechapel, London, E14UT",51.5205841,-0.0516174
Poke Shack,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/the-poke-shack-editions-act?day=today&geohash=gcpv4073pfnr&time=ASAP,"Unit 33, Acton Park Industrial Estate, London, W37QE",51.50484772,-0.257361141
Dishoom,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/dishoom-editions-act?day=today&geohash=gcpv4073pfnr&time=ASAP,"Unit 33, Acton Park Industrial Estate, London, W37QE",51.50484772,-0.257361141
Mindful Chef,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/mindful-chef-editions-act?day=today&geohash=gcpv4073pfnr&time=ASAP,"Unit 33, Acton Park Industrial Estate, London, W37QE",51.50484772,-0.257361141
Pizza Paradiso ,London,swiss-cottage,https://deliveroo.co.uk/menu/London/swiss-cottage/pizza-paradiso-new-college-parade?geohash=gcpvhp0bd462,"13 New College Parade, London, NW35EP",51.5454314,-0.1771143
Jude's Ice Cream,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/judes-ice-cream-editions-isl?geohash=gcpvhvg8xzt0,"Unit 4, 149 Roman Way, London, N78XH",51.3731458,-0.1069457
The Good Earth,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/the-good-earth-editions-bel?geohash=gcpv4dretwn2,"Deliveroo Editions, Unit 8 Mitre Way, Mitre Bridge Industrial Estate, London Borough of Hammersmith and Fulham, London, London, W106AU, London, W106AU",51.5245604,-0.2304484
WING·STOP,London,brent-cross-editions,https://deliveroo.co.uk/menu/London/brent-cross-editions/wingstop-editions-brc?day=today&geohash=gcpv6ed34vp4&time=ASAP,"Pheonix Park, Apsley Way, Unit 2, London, NW27LN",51.56714327,-0.238109253
Mindful Chef ,London,brent-cross-editions,https://deliveroo.co.uk/menu/London/brent-cross-editions/mindful-chef-editions-brc?day=today&geohash=gcpv6ed34vp4&time=ASAP,"Phoenix Park, Apsley Way, Unit 2, London, NW27LN",51.56714327,-0.238109253
TRIP CBD Store,London,west-hendon,https://deliveroo.co.uk/menu/London/west-hendon/trip-cbd-store-colindale?day=today&geohash=gcpv6ed34vp4&time=ASAP,"Knightsbridge House, Hool Close, London, NW98XG",51.58189832,-0.259056358
Poke Fuzion,Wigan,sankey,https://deliveroo.co.uk/menu/Wigan/sankey/poke-fuzion-warrington?day=today&geohash=gcqpexr9thzp&time=ASAP,"56 Warrington Road, Wigan, WA52JP",53.53852945,-2.651652675
Pasta Evangelists,Manchester,sale,https://deliveroo.co.uk/menu/Manchester/sale/pasta-evangelists-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP,"113 Hope Rd, Sale, Manchester, M333YA",53.41813943,-2.324649302
The Athenian,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/the-athenian-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP,"Unit 10, Foundry Business Park, Ordsall Lane, Salford, Manchester, M53AN",53.46888407,-2.276106101
Luxford Burgers,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/luxford-burgers-editions-man?day=today&geohash=gcqrg7xdxvft&time=ASAP,"Unit 10, Foundry Business Park, Ordsall Lane, Salford, Manchester, M53AN",53.46888407,-2.276106101
Nomi Katsu 🇯🇵,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/nomi-katsu-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP,"Salford Editions Unit 10, Manchester,Foundry Business Park, Ordsall Lane, Salford, Manchester, M53AN",53.46888407,-2.276106101
Poke Fuzion by ZUMU,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/poke-fuzion-uk?day=today&geohash=gcqrg7xdxvft&time=ASAP,"Salford Editions Unit 10, Manchester, Manchester, M53AN",53.46888407,-2.276106101
